,title,deal_rating,mileage,price,stock_type,location
0,2021 Toyota RAV4 Prime SE,Good Deal,"53,717 mi.","$36,998",Used,"Reno, NV"
1,2023 Toyota Sienna LE,Great Deal,"20,658 mi.","$38,998",Used,"Amarillo, TX"
2,2022 Lexus ES 300h Ultra Luxury,Good Deal,"44,375 mi.","$37,467",Used,"Beaumont, TX"
3,2020 Nissan GT-R Premium Dual-clutch 6-Speed Transmission,Fair Deal,"16,670 mi.","$114,900",Used,"Gresham, OR"
4,2010 BMW 535 Gran Turismo i,Good Deal,"102,750 mi.","$10,999",Used,"Lebanon, OH"
5,2002 Dodge Dakota SLT,Great Deal,"160,125 mi.","$3,500",Used,"Bellevue, NE"
6,2023 BMW X6 M Base,Good Deal,"6,906 mi.","$107,000",Used,"Berlin, CT"
7,2022 GMC Sierra 1500 Limited AT4,Great Deal,"26,189 mi.","$53,269",Used,"Grand Junction, CO"
8,2001 Chrysler PT Cruiser Base,Great Deal,"94,195 mi.","$6,995",Used,"Longmont, CO"
9,2015 Dodge Dart SXT,Great Deal,"131,735 mi.","$7,499",Used,"Puyallup, WA"
10,2019 Volkswagen Golf Alltrack TSI S,Fair Deal,"73,795 mi.","$23,500",Used,"Waterloo, IA"
11,2007 Pontiac Solstice Base,Good Deal,"21,556 mi.","$18,707",Used,"Depew, NY"
12,2019 Mercedes-Benz AMG GT 63 4-Door,Fair Deal,"61,399 mi.","$74,996",Used,"Charlotte, NC"
13,2023 Honda Ridgeline RTL,Great Deal,"23,664 mi.","$35,100",Used,"Cedar Falls, IA"
14,2023 Hyundai Elantra Limited,Good Deal,"25,249 mi.","$24,997",Used,"Jonesboro, AR"
15,2016 Mercedes-Benz GLC-Class GLC 300,Good Deal,"47,606 mi.","$24,998",Used,"Houston, TX"
16,2009 Toyota Matrix S,Good Deal,"85,000 mi.","$9,995",Used,"Ithaca, NY"
17,2021 Mercedes-Benz AMG A 35,Great Deal,"11,035 mi.","$39,550",Mercedes-Benz Certified,"Wexford, PA"
18,2017 Mercedes-Benz AMG GLE 43 Coupe 4MATIC,Fair Deal,"47,000 mi.","$41,997
$5,000 price drop",Used,"Woodbridge, VA"
19,2020 Nissan Rogue S,Great Deal,"35,449 mi.","$20,630",Used,"Orange, TX"
20,2023 Honda Ridgeline RTL,Great Deal,"23,664 mi.","$35,100",Used,"Cedar Falls, IA"
21,2019 Volkswagen Golf Alltrack TSI S,Fair Deal,"73,795 mi.","$23,500",Used,"Waterloo, IA"
22,2013 FIAT 500 Abarth,Good Deal,"86,517 mi.","$8,999",Used,"Houston, TX"
23,2023 Land Rover Discovery P360 HSE R-Dynamic,Great Deal,"8,534 mi.","$68,199
$750 price drop",Used,
24,2017 Lincoln Continental Reserve,Good Deal,"139,444 mi.","$16,990
$490 price drop",Used,"Merriville, IN"
25,2022 Toyota Supra 3.0,Good Deal,"13,922 mi.","$53,988",Used,"Stillwater, OK"
26,2022 Alfa Romeo Stelvio Ti,Great Deal,"15,999 mi.","$28,500",Used,"Bonita Springs, FL"
27,2005 Toyota Sienna LE,Fair Deal,"71,000 mi.","$9,999",Used,"Palm Desert, CA"
28,2021 Acura RDX Base,Good Deal,"32,930 mi.","$31,997",Used,"Westfield, MA"
29,2023 Lexus GX 460 Base,Good Deal,"2,551 mi.","$60,989",Used,"Cedar Park, TX"
30,2017 Ford Expedition XLT,Great Deal,"102,790 mi.","$17,388
$337 price drop",Ford Certified,"Reno, NV"
31,2015 Toyota Sienna XLE,Fair Deal,"133,174 mi.","$16,400",Used,"Lima, OH"
32,2024 BMW X5 sDrive40i,Good Deal,"5,142 mi.","$64,508",Used,"Albertville, AL"
33,2023 Mitsubishi Outlander SE Special Edition,Great Deal,"21,546 mi.","$27,700
$300 price drop",Used,"Lafayette, IN"
34,1997 Toyota Supra Turbo,Fair Deal,"77,076 mi.","$129,800",Used,"Lisle, IL"
35,2020 Honda Fit EX,Fair Deal,"53,415 mi.","$18,760
$415 price drop",Used,"Southgate, MI"
36,2023 Rivian R1T Adventure Quad Motor Large Pack,Good Deal,"21,321 mi.","$65,990
$1,000 price drop",Used,"Rochester, NY"
37,2015 Nissan Quest SL,Great Deal,"119,706 mi.","$10,475",Used,"Greensboro, NC"
38,2021 Toyota Tundra SR5,Good Deal,"20,446 mi.","$44,280
$659 price drop",Certified,"North Platte, NE"
39,2016 FIAT 500X Pop,Great Deal,"91,291 mi.","$8,995
$255 price drop",Used,"Independence, MO"
40,2021 Audi A5 45 S line Premium Plus,Great Deal,"59,994 mi.","$26,657
$754 price drop",Used,"Fayetteville, AR"
41,2019 Mercedes-Benz SL 550 SL 550,Fair Deal,"37,633 mi.","$71,500",Used,"Buffalo, NY"
42,2023 Honda Ridgeline RTL,Great Deal,"23,664 mi.","$35,100",Used,"Cedar Falls, IA"
43,2005 Toyota Sienna LE,Fair Deal,"71,000 mi.","$9,999",Used,"Palm Desert, CA"
44,2021 Acura RDX Base,Good Deal,"32,930 mi.","$31,997",Used,"Westfield, MA"
45,2022 Ford Explorer ST,Good Deal,"13,547 mi.","$41,491",Used,"Naples, FL"
46,2023 BMW X6 M Base,Good Deal,"6,906 mi.","$107,000",Used,"Berlin, CT"
