date,result,year
1. Mar 29,lost,2024
2. Mar 30,lost,2024
3. Mar 31,lost,2024
4. Apr 1,lost,2024
5. Apr 4,lost,2024
6. Apr 4,beat,2024
7. Apr 5,beat,2024
8. Apr 6,lost,2024
9. Apr 7,beat,2024
10. Apr 8,beat,2024
11. Apr 9,lost,2024
12. Apr 11,beat,2024
13. Apr 12,beat,2024
14. Apr 13,lost,2024
15. Apr 14,beat,2024
16. Apr 15,beat,2024
17. Apr 16,beat,2024
18. Apr 17,beat,2024
19. Apr 19,beat,2024
20. Apr 20,beat,2024
21. Apr 21,lost,2024
22. Apr 22,lost,2024
23. Apr 23,lost,2024
24. Apr 24,beat,2024
25. Apr 26,lost,2024
26. Apr 27,lost,2024
27. Apr 28,beat,2024
28. Apr 29,lost,2024
29. Apr 30,beat,2024
30. May 1,lost,2024
31. May 2,beat,2024
32. May 3,lost,2024
33. May 4,lost,2024
34. May 5,lost,2024
1. Mar 30,beat,2023
2. Mar 31,lost,2023
3. Apr 1,beat,2023
4. Apr 2,beat,2023
5. Apr 3,lost,2023
6. Apr 4,lost,2023
7. Apr 5,lost,2023
8. Apr 7,beat,2023
9. Apr 8,beat,2023
10. Apr 9,lost,2023
11. Apr 10,beat,2023
12. Apr 11,lost,2023
13. Apr 12,beat,2023
14. Apr 14,beat,2023
15. Apr 15,beat,2023
16. Apr 16,beat,2023
17. Apr 17,beat,2023
18. Apr 18,lost,2023
19. Apr 19,beat,2023
20. Apr 20,beat,2023
21. Apr 21,beat,2023
22. Apr 22,lost,2023
23. Apr 23,lost,2023
24. Apr 25,lost,2023
25. Apr 26,lost,2023
26. Apr 27,beat,2023
27. Apr 28,lost,2023
28. May 1,lost,2023
29. May 1,beat,2023
30. May 3,lost,2023
31. May 3,lost,2023
32. May 4,lost,2023
33. May 5,beat,2023
34. May 6,lost,2023
35. May 7,lost,2023
36. May 9,lost,2023
37. May 10,beat,2023
38. May 11,lost,2023
39. May 12,beat,2023
40. May 13,lost,2023
41. May 14,beat,2023
42. May 15,lost,2023
43. May 16,lost,2023
44. May 17,beat,2023
45. May 18,beat,2023
46. May 19,beat,2023
47. May 21,beat,2023
48. May 21,beat,2023
49. May 23,lost,2023
50. May 24,lost,2023
51. May 25,beat,2023
52. May 26,beat,2023
53. May 27,lost,2023
54. May 28,lost,2023
55. May 30,beat,2023
56. May 31,beat,2023
57. Jun 1,beat,2023
58. Jun 2,lost,2023
59. Jun 3,lost,2023
60. Jun 4,lost,2023
61. Jun 6,lost,2023
62. Jun 7,lost,2023
63. Jun 8,lost,2023
64. Jun 9,lost,2023
65. Jun 10,beat,2023
66. Jun 11,lost,2023
67. Jun 13,lost,2023
68. Jun 14,beat,2023
69. Jun 16,beat,2023
70. Jun 17,lost,2023
71. Jun 18,lost,2023
72. Jun 19,beat,2023
73. Jun 20,lost,2023
74. Jun 21,lost,2023
75. Jun 23,lost,2023
76. Jun 24,beat,2023
77. Jun 25,lost,2023
78. Jun 26,lost,2023
79. Jun 27,beat,2023
80. Jun 28,lost,2023
81. Jun 29,lost,2023
82. Jun 30,lost,2023
83. Jul 1,beat,2023
84. Jul 2,beat,2023
85. Jul 4,beat,2023
86. Jul 5,beat,2023
87. Jul 6,beat,2023
88. Jul 7,beat,2023
89. Jul 8,lost,2023
90. Jul 9,lost,2023
91. Jul 14,lost,2023
92. Jul 15,lost,2023
93. Jul 16,beat,2023
94. Jul 18,beat,2023
95. Jul 19,beat,2023
96. Jul 20,lost,2023
97. Jul 21,beat,2023
98. Jul 22,lost,2023
99. Jul 23,lost,2023
100. Jul 25,beat,2023
101. Jul 26,lost,2023
102. Jul 27,beat,2023
103. Jul 28,beat,2023
104. Jul 29,lost,2023
105. Jul 30,beat,2023
106. Aug 1,lost,2023
107. Aug 2,lost,2023
108. Aug 3,lost,2023
109. Aug 4,lost,2023
110. Aug 5,lost,2023
111. Aug 6,lost,2023
112. Aug 7,beat,2023
113. Aug 8,lost,2023
114. Aug 9,beat,2023
115. Aug 11,lost,2023
116. Aug 12,lost,2023
117. Aug 12,lost,2023
118. Aug 13,beat,2023
119. Aug 14,beat,2023
120. Aug 15,lost,2023
121. Aug 16,beat,2023
122. Aug 17,beat,2023
123. Aug 18,beat,2023
124. Aug 19,beat,2023
125. Aug 20,lost,2023
126. Aug 21,beat,2023
127. Aug 22,lost,2023
128. Aug 23,lost,2023
129. Aug 25,lost,2023
130. Aug 26,lost,2023
131. Aug 27,beat,2023
132. Aug 28,lost,2023
133. Aug 29,lost,2023
134. Aug 30,beat,2023
135. Sep 1,beat,2023
136. Sep 2,lost,2023
137. Sep 3,beat,2023
138. Sep 5,beat,2023
139. Sep 6,lost,2023
140. Sep 8,lost,2023
141. Sep 9,lost,2023
142. Sep 10,beat,2023
143. Sep 11,lost,2023
144. Sep 12,beat,2023
145. Sep 13,beat,2023
146. Sep 14,beat,2023
147. Sep 15,lost,2023
148. Sep 16,lost,2023
149. Sep 17,beat,2023
150. Sep 18,beat,2023
151. Sep 19,lost,2023
152. Sep 20,beat,2023
153. Sep 21,lost,2023
154. Sep 22,lost,2023
155. Sep 23,lost,2023
156. Sep 24,lost,2023
157. Sep 27,beat,2023
158. Sep 27,lost,2023
159. Sep 28,beat,2023
160. Sep 30,beat,2023
161. Sep 30,beat,2023
162. Oct 1,lost,2023
1. Apr 7,beat,2022
2. Apr 8,beat,2022
3. Apr 9,beat,2022
4. Apr 10,lost,2022
5. Apr 11,lost,2022
6. Apr 12,beat,2022
7. Apr 13,beat,2022
8. Apr 15,beat,2022
9. Apr 16,lost,2022
10. Apr 17,beat,2022
11. Apr 19,beat,2022
12. Apr 19,beat,2022
13. Apr 20,lost,2022
14. Apr 21,beat,2022
15. Apr 22,beat,2022
16. Apr 23,lost,2022
17. Apr 24,beat,2022
18. Apr 25,beat,2022
19. Apr 26,beat,2022
20. Apr 27,lost,2022
21. Apr 29,beat,2022
22. Apr 30,lost,2022
23. May 1,beat,2022
24. May 2,lost,2022
25. May 3,beat,2022
26. May 3,beat,2022
27. May 4,lost,2022
28. May 5,beat,2022
29. May 8,lost,2022
30. May 8,beat,2022
31. May 10,beat,2022
32. May 11,lost,2022
33. May 12,beat,2022
34. May 13,lost,2022
35. May 14,beat,2022
36. May 15,lost,2022
37. May 17,beat,2022
38. May 17,lost,2022
39. May 18,beat,2022
40. May 19,beat,2022
41. May 21,beat,2022
42. May 21,lost,2022
43. May 22,beat,2022
44. May 23,beat,2022
45. May 24,lost,2022
46. May 25,lost,2022
47. May 27,beat,2022
48. May 28,beat,2022
49. May 29,beat,2022
50. May 30,beat,2022
51. May 31,beat,2022
52. Jun 1,beat,2022
53. Jun 2,lost,2022
54. Jun 3,lost,2022
55. Jun 4,beat,2022
56. Jun 5,beat,2022
57. Jun 6,beat,2022
58. Jun 7,lost,2022
59. Jun 8,lost,2022
60. Jun 10,beat,2022
61. Jun 11,lost,2022
62. Jun 12,beat,2022
63. Jun 14,beat,2022
64. Jun 15,lost,2022
65. Jun 16,beat,2022
66. Jun 17,beat,2022
67. Jun 18,beat,2022
68. Jun 19,lost,2022
69. Jun 20,beat,2022
70. Jun 21,lost,2022
71. Jun 22,lost,2022
72. Jun 24,beat,2022
73. Jun 25,beat,2022
74. Jun 26,lost,2022
75. Jun 28,lost,2022
76. Jun 29,lost,2022
77. Jul 1,beat,2022
78. Jul 2,lost,2022
79. Jul 3,beat,2022
80. Jul 4,beat,2022
81. Jul 5,lost,2022
82. Jul 6,beat,2022
83. Jul 7,beat,2022
84. Jul 8,lost,2022
85. Jul 9,beat,2022
86. Jul 10,lost,2022
87. Jul 11,beat,2022
88. Jul 12,lost,2022
89. Jul 13,beat,2022
90. Jul 14,beat,2022
91. Jul 16,beat,2022
92. Jul 16,beat,2022
93. Jul 17,lost,2022
94. Jul 22,lost,2022
95. Jul 23,lost,2022
96. Jul 24,beat,2022
97. Jul 26,beat,2022
98. Jul 27,beat,2022
99. Jul 29,beat,2022
100. Jul 30,beat,2022
101. Jul 31,beat,2022
102. Aug 1,beat,2022
103. Aug 2,lost,2022
104. Aug 3,beat,2022
105. Aug 4,beat,2022
106. Aug 5,lost,2022
107. Aug 6,beat,2022
108. Aug 6,beat,2022
109. Aug 7,beat,2022
110. Aug 8,beat,2022
111. Aug 9,beat,2022
112. Aug 10,beat,2022
113. Aug 12,lost,2022
114. Aug 13,beat,2022
115. Aug 14,beat,2022
116. Aug 15,lost,2022
117. Aug 16,lost,2022
118. Aug 17,beat,2022
119. Aug 18,lost,2022
120. Aug 19,beat,2022
121. Aug 20,beat,2022
122. Aug 20,lost,2022
123. Aug 21,beat,2022
124. Aug 22,lost,2022
125. Aug 23,lost,2022
126. Aug 25,beat,2022
127. Aug 26,beat,2022
128. Aug 27,beat,2022
129. Aug 28,lost,2022
130. Aug 30,lost,2022
131. Aug 31,beat,2022
132. Sep 1,beat,2022
133. Sep 2,beat,2022
134. Sep 3,lost,2022
135. Sep 4,lost,2022
136. Sep 6,lost,2022
137. Sep 7,beat,2022
138. Sep 7,beat,2022
139. Sep 9,lost,2022
140. Sep 10,beat,2022
141. Sep 11,beat,2022
142. Sep 12,lost,2022
143. Sep 13,lost,2022
144. Sep 14,lost,2022
145. Sep 15,beat,2022
146. Sep 16,beat,2022
147. Sep 17,beat,2022
148. Sep 18,beat,2022
149. Sep 19,beat,2022
150. Sep 20,beat,2022
151. Sep 21,lost,2022
152. Sep 23,beat,2022
153. Sep 24,lost,2022
154. Sep 25,beat,2022
155. Sep 27,lost,2022
156. Sep 28,beat,2022
157. Sep 30,lost,2022
158. Oct 1,lost,2022
159. Oct 2,lost,2022
160. Oct 4,beat,2022
161. Oct 4,beat,2022
162. Oct 5,beat,2022
1. Apr 5,lost,2021
2. Apr 6,beat,2021
3. Apr 7,lost,2021
4. Apr 8,beat,2021
5. Apr 10,lost,2021
6. Apr 11,beat,2021
7. Apr 13,beat,2021
8. Apr 13,beat,2021
9. Apr 14,beat,2021
10. Apr 17,beat,2021
11. Apr 17,lost,2021
12. Apr 18,beat,2021
13. Apr 20,lost,2021
14. Apr 21,lost,2021
15. Apr 22,lost,2021
16. Apr 23,beat,2021
17. Apr 24,lost,2021
18. Apr 25,beat,2021
19. Apr 27,lost,2021
20. Apr 28,lost,2021
21. Apr 30,lost,2021
22. May 1,beat,2021
23. May 2,beat,2021
24. May 3,lost,2021
25. May 5,lost,2021
26. May 5,beat,2021
27. May 6,beat,2021
28. May 7,beat,2021
29. May 8,beat,2021
30. May 9,beat,2021
31. May 11,beat,2021
32. May 12,beat,2021
33. May 14,lost,2021
34. May 15,lost,2021
35. May 16,lost,2021
36. May 17,beat,2021
37. May 18,beat,2021
38. May 19,lost,2021
39. May 21,beat,2021
40. May 22,lost,2021
41. May 23,lost,2021
42. May 24,lost,2021
43. May 25,beat,2021
44. May 27,beat,2021
45. May 27,beat,2021
46. May 29,beat,2021
47. May 31,beat,2021
48. Jun 1,lost,2021
49. Jun 2,beat,2021
50. Jun 3,lost,2021
51. Jun 4,lost,2021
52. Jun 5,beat,2021
53. Jun 6,beat,2021
54. Jun 8,lost,2021
55. Jun 9,beat,2021
56. Jun 11,beat,2021
57. Jun 12,beat,2021
58. Jun 13,lost,2021
59. Jun 14,beat,2021
60. Jun 15,beat,2021
61. Jun 16,beat,2021
62. Jun 17,lost,2021
63. Jun 18,lost,2021
64. Jun 19,beat,2021
65. Jun 19,lost,2021
66. Jun 20,lost,2021
67. Jun 21,beat,2021
68. Jun 21,lost,2021
69. Jun 22,lost,2021
