,date,rank,track_title,track_artist,wks_on_chart,peaks
0,may-4-2024,1,Lose Control,Teddy Swims,19,1
1,may-4-2024,2,Beautiful Things,Benson Boone,10,2
2,may-4-2024,3,Lovin On Me,Jack Harlow,19,1
3,may-4-2024,4,Feather,Sabrina Carpenter,21,1
4,may-4-2024,5,Agora Hills,Doja Cat,22,1
5,may-4-2024,6,greedy,Tate McRae,27,1
6,may-4-2024,7,TEXAS HOLD 'EM,Beyoncé,9,7
7,may-4-2024,8,we can't be friends (wait for your love),Ariana Grande,5,8
8,may-4-2024,9,Stick Season,Noah Kahan,13,9
9,may-4-2024,10,Selfish,Justin Timberlake,12,9
10,may-4-2024,11,Water,Tyla,21,6
11,may-4-2024,12,Not My Fault,Reneé Rapp & Megan Thee Stallion,12,12
12,may-4-2024,13,obsessed,Olivia Rodrigo,4,13
13,may-4-2024,14,Saturn,SZA,6,14
14,may-4-2024,15,Everybody,Nicki Minaj feat. Lil Uzi Vert,14,14
15,may-4-2024,16,On My Mama,Victoria Monét,13,16
16,may-4-2024,17,Paint The Town Red,Doja Cat,36,1
17,may-4-2024,18,Love On,Selena Gomez,8,16
18,may-4-2024,19,One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp",9,19
19,may-4-2024,20,Not The 1975,Knox,3,20
20,may-4-2024,21,End of Beginning,Djo,3,21
21,may-4-2024,22,Save Me,Jelly Roll,9,22
22,may-4-2024,23,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,21,1
23,may-4-2024,24,Wild Ones,Jessie Murph & Jelly Roll,6,24
24,may-4-2024,25,A Symptom Of Being Human,Shinedown,7,25
25,may-4-2024,26,Houdini,Dua Lipa,20,5
26,may-4-2024,27,Kissing Strangers,Usher,6,27
27,may-4-2024,28,Training Season,Dua Lipa,7,16
28,may-4-2024,29,Been Like This,Meghan Trainor & T-Pain,4,29
29,may-4-2024,30,Make You Mine,Madison Beer,5,30
30,may-4-2024,31,Too Sweet,Hozier,1,31
31,may-4-2024,32,get him back!,Olivia Rodrigo,25,8
32,may-4-2024,33,II MOST WANTED,Beyoncé & Miley Cyrus,2,33
33,may-4-2024,34,exes,Tate McRae,17,10
34,may-4-2024,35,Illusion,Dua Lipa,1,35
35,may-4-2024,36,Cruel Summer,Taylor Swift,43,1
36,may-4-2024,37,Run,Smith,3,35
37,may-4-2024,38,Blame Brett,The Beaches,2,37
38,may-4-2024,39,Murder On The Dancefloor,Sophie Ellis-Bextor,11,16
39,may-4-2024,40,Lil Boo Thang,Paul Russell,29,4
40,april-27-2024,1,Lose Control,Teddy Swims,18,1
41,april-27-2024,2,Feather,Sabrina Carpenter,20,1
42,april-27-2024,3,Lovin On Me,Jack Harlow,18,1
43,april-27-2024,4,Beautiful Things,Benson Boone,9,4
44,april-27-2024,5,Agora Hills,Doja Cat,21,1
45,april-27-2024,6,greedy,Tate McRae,26,1
46,april-27-2024,7,TEXAS HOLD 'EM,Beyoncé,8,7
47,april-27-2024,8,Water,Tyla,20,6
48,april-27-2024,9,Selfish,Justin Timberlake,11,9
49,april-27-2024,10,we can't be friends (wait for your love),Ariana Grande,4,10
50,april-27-2024,11,Stick Season,Noah Kahan,12,11
51,april-27-2024,12,Not My Fault,Reneé Rapp & Megan Thee Stallion,11,12
52,april-27-2024,13,Paint The Town Red,Doja Cat,35,1
53,april-27-2024,14,Everybody,Nicki Minaj feat. Lil Uzi Vert,13,14
54,april-27-2024,15,obsessed,Olivia Rodrigo,3,15
55,april-27-2024,16,Training Season,Dua Lipa,6,16
56,april-27-2024,17,Love On,Selena Gomez,7,16
57,april-27-2024,18,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,20,1
58,april-27-2024,19,Saturn,SZA,5,19
59,april-27-2024,20,Houdini,Dua Lipa,19,5
60,april-27-2024,21,One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp",8,21
61,april-27-2024,22,On My Mama,Victoria Monét,12,21
62,april-27-2024,23,Not The 1975,Knox,2,23
63,april-27-2024,24,exes,Tate McRae,16,10
64,april-27-2024,25,Save Me,Jelly Roll,8,25
65,april-27-2024,26,Wild Ones,Jessie Murph & Jelly Roll,5,26
66,april-27-2024,27,A Symptom Of Being Human,Shinedown,6,26
67,april-27-2024,28,End of Beginning,Djo,2,28
68,april-27-2024,29,Kissing Strangers,Usher,5,29
69,april-27-2024,30,get him back!,Olivia Rodrigo,24,8
70,april-27-2024,31,Make You Mine,Madison Beer,4,30
